area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up Area,Ready To Move,Mumbai,4 BHK,Dream Homes,4909.7,1,0,304.24
Super built-up Area,Under Construction,Ahmedabad,2 RK,Green Heights,2428.01,4,2,342.17
Super built-up Area,Under Construction,Hyderabad,4 BHK,Oceanic Towers,2141.47,1,2,117.19
Plot Area,Immediate Possession,Mumbai,3 BHK,Sunrise Residency,1900.37,4,2,157.02
Super built-up Area,Under Construction,Chennai,1 RK,Luxury Enclave,3285.96,3,3,335.73
Carpet Area,Under Construction,Delhi,2 RK,Sunrise Residency,4503.79,3,0,336.44
Carpet Area,Immediate Possession,Bangalore,2 RK,Green Heights,3003.92,4,1,316.25
Super built-up Area,Immediate Possession,Bangalore,1 RK,Oceanic Towers,2161.4,4,0,211.54
Built-up Area,Under Construction,Mumbai,2 BHK,Luxury Enclave,3596.53,4,3,296.55
Carpet Area,Ready To Move,Kolkata,1 RK,Sunrise Residency,1079.22,2,0,99.52
Built-up Area,Under Construction,Ahmedabad,1 RK,Dream Homes,2659.82,1,0,85.14
Built-up Area,Immediate Possession,Pune,4 BHK,Sunrise Residency,3273.26,3,0,465.11
Plot Area,Immediate Possession,Chennai,3 BHK,Sunrise Residency,3197.45,2,2,323.0
Super built-up Area,Immediate Possession,Bangalore,1 RK,Luxury Enclave,2632.89,2,1,102.44
Plot Area,Ready To Move,Delhi,2 BHK,Sunrise Residency,4546.22,3,3,83.85
Super built-up Area,Under Construction,Hyderabad,1 RK,Sunrise Residency,985.97,2,1,253.67
Plot Area,Under Construction,Mumbai,2 RK,Oceanic Towers,580.9,3,1,44.95
Built-up Area,Immediate Possession,Delhi,4 BHK,Oceanic Towers,616.61,1,3,426.75
Plot Area,Under Construction,Hyderabad,2 BHK,Oceanic Towers,3408.01,3,1,62.68
Plot Area,Ready To Move,Chennai,2 RK,Oceanic Towers,619.81,1,0,396.06
Plot Area,Ready To Move,Kolkata,1 BHK,Skyline View,2395.33,3,1,390.88
Super built-up Area,Immediate Possession,Ahmedabad,3 BHK,Sunrise Residency,2150.83,4,0,78.59
Super built-up Area,Immediate Possession,Chennai,4 BHK,Sunrise Residency,2408.57,4,2,279.65
Carpet Area,Ready To Move,Mumbai,3 BHK,Luxury Enclave,1804.7,4,1,445.55
Plot Area,Immediate Possession,Bangalore,1 BHK,Dream Homes,4793.9,2,2,267.98
Carpet Area,Ready To Move,Hyderabad,3 BHK,Skyline View,3307.1,4,0,413.97
Super built-up Area,Immediate Possession,Bangalore,1 RK,Oceanic Towers,3861.36,2,1,14.2
Super built-up Area,Immediate Possession,Hyderabad,4 BHK,Skyline View,1162.13,1,2,170.97
Super built-up Area,Under Construction,Kolkata,1 RK,Oceanic Towers,1270.66,4,3,165.04
Carpet Area,Immediate Possession,Chennai,4 BHK,Dream Homes,1106.43,3,2,376.29
Built-up Area,Under Construction,Chennai,4 BHK,Green Heights,2468.66,4,0,467.56
Built-up Area,Ready To Move,Bangalore,4 BHK,Palm Meadows,4545.37,1,3,411.07
Plot Area,Under Construction,Delhi,1 RK,Skyline View,1773.85,1,2,353.99
Super built-up Area,Immediate Possession,Delhi,1 RK,Skyline View,1393.72,1,0,203.71
Carpet Area,Ready To Move,Chennai,4 BHK,Green Heights,4184.82,3,0,103.32
Built-up Area,Under Construction,Mumbai,2 RK,Palm Meadows,4489.63,4,1,371.18
Plot Area,Ready To Move,Kolkata,1 BHK,Green Heights,3039.48,2,1,33.51
Plot Area,Ready To Move,Hyderabad,2 BHK,Sunrise Residency,2955.63,1,1,339.84
Carpet Area,Immediate Possession,Delhi,2 BHK,Green Heights,2138.94,4,1,436.95
Carpet Area,Ready To Move,Ahmedabad,3 BHK,Green Heights,4977.1,4,3,352.12
Built-up Area,Under Construction,Ahmedabad,4 BHK,Skyline View,3511.76,3,1,240.99
Built-up Area,Under Construction,Ahmedabad,2 BHK,Oceanic Towers,1709.05,1,2,21.21
Plot Area,Under Construction,Pune,1 RK,Dream Homes,2276.73,3,0,410.4
Carpet Area,Ready To Move,Kolkata,3 BHK,Luxury Enclave,1880.73,2,1,134.61
Super built-up Area,Ready To Move,Mumbai,2 RK,Palm Meadows,1402.59,3,0,443.84
Carpet Area,Ready To Move,Ahmedabad,3 BHK,Sunrise Residency,4442.45,1,1,349.69
Carpet Area,Immediate Possession,Bangalore,1 BHK,Skyline View,3011.89,1,0,82.71
Super built-up Area,Immediate Possession,Pune,2 BHK,Sunrise Residency,695.98,1,1,499.64
Plot Area,Under Construction,Chennai,1 RK,Oceanic Towers,4651.6,2,0,347.99
Carpet Area,Ready To Move,Ahmedabad,2 BHK,Oceanic Towers,4175.4,1,0,355.25
Plot Area,Under Construction,Hyderabad,2 BHK,Green Heights,1143.58,4,0,340.98
Plot Area,Under Construction,Hyderabad,1 RK,Dream Homes,559.68,3,3,425.06
Carpet Area,Under Construction,Delhi,2 RK,Luxury Enclave,2028.18,3,2,31.86
Plot Area,Under Construction,Chennai,3 BHK,Luxury Enclave,618.04,3,2,164.9
Carpet Area,Immediate Possession,Pune,2 RK,Palm Meadows,471.68,2,3,208.88
Carpet Area,Ready To Move,Kolkata,1 BHK,Green Heights,713.59,4,3,375.57
Carpet Area,Ready To Move,Kolkata,2 BHK,Green Heights,4919.48,2,2,30.01
Carpet Area,Immediate Possession,Hyderabad,1 RK,Luxury Enclave,1521.17,3,1,242.23
Carpet Area,Immediate Possession,Ahmedabad,2 RK,Green Heights,543.03,2,1,110.48
Carpet Area,Ready To Move,Chennai,2 RK,Oceanic Towers,4714.49,1,1,188.74
Built-up Area,Ready To Move,Delhi,2 BHK,Dream Homes,3211.2,1,1,402.76
Built-up Area,Immediate Possession,Hyderabad,1 BHK,Sunrise Residency,4804.71,3,1,453.93
Plot Area,Ready To Move,Pune,1 BHK,Skyline View,2784.34,1,0,283.21
Built-up Area,Under Construction,Mumbai,1 RK,Oceanic Towers,2497.16,1,0,149.99
Super built-up Area,Immediate Possession,Chennai,2 BHK,Sunrise Residency,3437.04,4,2,239.85
Super built-up Area,Ready To Move,Kolkata,1 BHK,Skyline View,3081.05,2,3,305.7
Built-up Area,Immediate Possession,Chennai,1 RK,Oceanic Towers,3714.1,1,2,220.33
Plot Area,Under Construction,Pune,2 RK,Luxury Enclave,3284.69,4,1,409.83
Carpet Area,Under Construction,Bangalore,3 BHK,Sunrise Residency,1660.81,2,1,362.47
Built-up Area,Under Construction,Pune,1 RK,Luxury Enclave,4396.91,2,1,298.1
Carpet Area,Immediate Possession,Chennai,4 BHK,Oceanic Towers,2001.13,4,2,293.35
Carpet Area,Immediate Possession,Ahmedabad,2 BHK,Palm Meadows,4581.58,4,2,343.56
Carpet Area,Ready To Move,Mumbai,4 BHK,Sunrise Residency,2472.6,1,2,61.25
Super built-up Area,Under Construction,Hyderabad,2 BHK,Luxury Enclave,4843.67,3,2,29.72
Super built-up Area,Ready To Move,Pune,1 RK,Oceanic Towers,798.92,1,2,418.67
Carpet Area,Ready To Move,Kolkata,2 RK,Oceanic Towers,4090.27,2,0,127.53
Plot Area,Ready To Move,Pune,3 BHK,Oceanic Towers,2422.69,2,0,487.9
Carpet Area,Under Construction,Bangalore,4 BHK,Skyline View,3092.11,4,3,407.07
Built-up Area,Ready To Move,Chennai,2 BHK,Oceanic Towers,1551.98,2,0,406.69
Built-up Area,Immediate Possession,Bangalore,2 RK,Oceanic Towers,3287.45,2,1,132.38
Built-up Area,Under Construction,Delhi,1 BHK,Luxury Enclave,466.86,4,2,29.09
Plot Area,Ready To Move,Kolkata,3 BHK,Palm Meadows,2361.65,1,2,378.08
Built-up Area,Immediate Possession,Ahmedabad,1 BHK,Oceanic Towers,762.13,4,0,130.76
Carpet Area,Ready To Move,Pune,3 BHK,Dream Homes,1218.34,1,3,480.84
Built-up Area,Under Construction,Kolkata,4 BHK,Green Heights,2532.15,4,0,85.18
Plot Area,Immediate Possession,Kolkata,3 BHK,Green Heights,2773.23,2,3,320.67
Carpet Area,Immediate Possession,Mumbai,4 BHK,Luxury Enclave,1299.66,3,2,321.79
Super built-up Area,Immediate Possession,Kolkata,2 BHK,Sunrise Residency,577.09,4,0,334.95
Carpet Area,Immediate Possession,Kolkata,2 RK,Sunrise Residency,1660.05,4,1,480.66
Super built-up Area,Immediate Possession,Hyderabad,1 BHK,Green Heights,2346.46,1,2,444.08
Carpet Area,Under Construction,Mumbai,2 BHK,Palm Meadows,1107.85,1,3,332.91
Carpet Area,Ready To Move,Ahmedabad,4 BHK,Green Heights,715.08,2,3,139.9
Plot Area,Immediate Possession,Ahmedabad,4 BHK,Palm Meadows,2029.77,2,0,310.94
Plot Area,Ready To Move,Mumbai,3 BHK,Green Heights,4004.48,3,1,53.45
Built-up Area,Immediate Possession,Hyderabad,1 BHK,Sunrise Residency,579.09,2,2,213.55
Carpet Area,Immediate Possession,Delhi,2 BHK,Skyline View,1691.69,3,0,409.63
Plot Area,Immediate Possession,Chennai,2 BHK,Skyline View,1877.7,3,3,486.66
Super built-up Area,Immediate Possession,Mumbai,4 BHK,Sunrise Residency,3652.26,3,3,268.55
Built-up Area,Under Construction,Kolkata,1 BHK,Skyline View,917.22,3,1,199.95
Plot Area,Under Construction,Pune,3 BHK,Skyline View,2186.66,2,2,491.46
Carpet Area,Under Construction,Delhi,3 BHK,Dream Homes,2556.79,1,3,241.07
Carpet Area,Immediate Possession,Pune,3 BHK,Oceanic Towers,1964.42,1,2,443.26
Built-up Area,Under Construction,Mumbai,2 BHK,Luxury Enclave,4406.31,1,0,389.61
Carpet Area,Ready To Move,Kolkata,4 BHK,Palm Meadows,1513.7,2,2,492.99
Super built-up Area,Immediate Possession,Bangalore,3 BHK,Sunrise Residency,2478.87,1,3,303.49
Carpet Area,Immediate Possession,Kolkata,4 BHK,Skyline View,2450.32,3,2,354.35
Super built-up Area,Immediate Possession,Hyderabad,2 BHK,Oceanic Towers,3336.47,3,0,198.54
Plot Area,Ready To Move,Delhi,3 BHK,Green Heights,1065.02,4,2,251.26
Built-up Area,Immediate Possession,Kolkata,3 BHK,Dream Homes,2802.41,1,3,198.1
Built-up Area,Ready To Move,Kolkata,2 RK,Oceanic Towers,1704.83,4,1,458.12
Built-up Area,Ready To Move,Hyderabad,1 RK,Palm Meadows,2227.12,2,2,147.49
Super built-up Area,Ready To Move,Kolkata,1 RK,Skyline View,1077.35,2,0,146.78
Built-up Area,Ready To Move,Kolkata,2 RK,Luxury Enclave,749.95,3,2,321.8
Plot Area,Immediate Possession,Ahmedabad,1 RK,Palm Meadows,1247.77,4,1,75.23
Plot Area,Immediate Possession,Hyderabad,2 BHK,Sunrise Residency,2425.76,1,1,493.45
Plot Area,Under Construction,Chennai,4 BHK,Skyline View,4317.35,4,1,79.14
Super built-up Area,Under Construction,Mumbai,1 BHK,Dream Homes,2450.64,4,3,54.05
Plot Area,Immediate Possession,Mumbai,1 BHK,Skyline View,3997.2,1,0,87.78
Plot Area,Ready To Move,Delhi,1 RK,Dream Homes,1568.67,3,0,420.07
Carpet Area,Ready To Move,Mumbai,1 BHK,Palm Meadows,1850.31,1,3,494.19
Built-up Area,Ready To Move,Hyderabad,4 BHK,Dream Homes,1583.02,2,2,118.33
Plot Area,Under Construction,Hyderabad,3 BHK,Dream Homes,3478.93,4,3,494.2
Carpet Area,Ready To Move,Bangalore,1 BHK,Skyline View,2469.36,3,1,396.92
Built-up Area,Immediate Possession,Hyderabad,1 BHK,Skyline View,1692.74,4,1,314.21
Super built-up Area,Immediate Possession,Kolkata,2 RK,Luxury Enclave,4063.94,4,2,69.48
Plot Area,Under Construction,Hyderabad,4 BHK,Sunrise Residency,3477.56,3,1,131.72
Super built-up Area,Under Construction,Kolkata,4 BHK,Sunrise Residency,2536.76,2,1,337.71
Plot Area,Immediate Possession,Delhi,3 BHK,Green Heights,4466.77,3,2,183.49
Super built-up Area,Under Construction,Bangalore,3 BHK,Palm Meadows,4375.46,1,2,27.62
Built-up Area,Ready To Move,Mumbai,2 BHK,Dream Homes,1381.95,3,3,335.25
Super built-up Area,Ready To Move,Hyderabad,2 RK,Sunrise Residency,1156.8,4,0,126.39
Carpet Area,Immediate Possession,Ahmedabad,3 BHK,Green Heights,2907.48,1,3,151.26
Carpet Area,Under Construction,Bangalore,2 BHK,Skyline View,782.47,4,3,354.41
Plot Area,Ready To Move,Bangalore,2 RK,Green Heights,593.07,1,3,372.51
Carpet Area,Immediate Possession,Bangalore,1 RK,Palm Meadows,3600.83,2,1,459.86
Plot Area,Immediate Possession,Mumbai,3 BHK,Green Heights,3611.15,2,2,102.45
Super built-up Area,Immediate Possession,Pune,4 BHK,Dream Homes,2031.74,4,1,307.45
Built-up Area,Under Construction,Mumbai,3 BHK,Skyline View,1060.33,3,3,185.17
Super built-up Area,Immediate Possession,Hyderabad,1 BHK,Oceanic Towers,4366.75,2,1,409.94
Carpet Area,Immediate Possession,Pune,1 RK,Dream Homes,4159.66,1,2,458.1
Carpet Area,Ready To Move,Pune,4 BHK,Palm Meadows,1072.25,3,2,61.71
Carpet Area,Ready To Move,Ahmedabad,4 BHK,Oceanic Towers,1261.77,4,1,25.65
Plot Area,Under Construction,Ahmedabad,3 BHK,Oceanic Towers,4175.7,4,2,286.32
Plot Area,Immediate Possession,Ahmedabad,2 RK,Dream Homes,4587.38,1,0,43.72
Super built-up Area,Ready To Move,Mumbai,4 BHK,Oceanic Towers,1051.05,3,1,495.15
Carpet Area,Ready To Move,Pune,2 BHK,Dream Homes,3058.63,1,0,311.65
Super built-up Area,Under Construction,Chennai,2 BHK,Green Heights,3272.59,3,3,336.02
Super built-up Area,Under Construction,Mumbai,3 BHK,Oceanic Towers,4432.04,3,2,211.92
Built-up Area,Ready To Move,Bangalore,1 BHK,Green Heights,1240.21,4,0,213.68
Super built-up Area,Immediate Possession,Kolkata,4 BHK,Oceanic Towers,4235.48,4,2,101.01
Super built-up Area,Immediate Possession,Bangalore,1 BHK,Skyline View,3962.97,2,3,196.32
Super built-up Area,Immediate Possession,Mumbai,1 RK,Luxury Enclave,608.55,1,3,346.73
Super built-up Area,Immediate Possession,Mumbai,3 BHK,Oceanic Towers,4618.96,3,0,152.75
Carpet Area,Under Construction,Ahmedabad,3 BHK,Dream Homes,4019.65,3,1,37.42
Super built-up Area,Immediate Possession,Delhi,1 RK,Palm Meadows,562.63,1,0,489.32
Built-up Area,Ready To Move,Pune,1 BHK,Green Heights,3241.86,2,1,175.15
Super built-up Area,Under Construction,Hyderabad,1 RK,Sunrise Residency,3495.4,4,3,116.69
Built-up Area,Ready To Move,Pune,3 BHK,Oceanic Towers,4208.6,1,1,247.85
Super built-up Area,Immediate Possession,Kolkata,4 BHK,Sunrise Residency,4717.15,3,1,351.42
Built-up Area,Immediate Possession,Mumbai,1 BHK,Palm Meadows,2972.47,2,0,72.43
Built-up Area,Ready To Move,Ahmedabad,2 BHK,Green Heights,2832.82,1,2,461.23
Built-up Area,Immediate Possession,Bangalore,2 BHK,Green Heights,3213.72,4,0,167.1
Plot Area,Ready To Move,Bangalore,2 RK,Green Heights,2174.56,1,0,390.21
Built-up Area,Immediate Possession,Ahmedabad,2 BHK,Dream Homes,3413.9,1,0,331.67
Super built-up Area,Under Construction,Delhi,4 BHK,Dream Homes,4025.92,4,0,430.71
Plot Area,Ready To Move,Chennai,2 BHK,Oceanic Towers,1962.8,4,0,485.53
Plot Area,Immediate Possession,Mumbai,2 RK,Green Heights,4166.9,3,2,496.29
Built-up Area,Immediate Possession,Ahmedabad,1 BHK,Sunrise Residency,4285.76,3,2,163.45
Plot Area,Ready To Move,Ahmedabad,2 RK,Palm Meadows,4773.74,1,1,256.88
Plot Area,Immediate Possession,Pune,4 BHK,Palm Meadows,4291.89,1,0,449.04
Carpet Area,Ready To Move,Pune,3 BHK,Dream Homes,2141.88,4,1,140.89
Carpet Area,Immediate Possession,Bangalore,3 BHK,Luxury Enclave,3089.83,2,0,94.34
Plot Area,Ready To Move,Ahmedabad,2 RK,Luxury Enclave,3301.0,4,0,26.74
Built-up Area,Immediate Possession,Pune,4 BHK,Dream Homes,1389.27,1,0,322.88
Carpet Area,Ready To Move,Bangalore,1 RK,Skyline View,1819.25,4,3,25.34
Plot Area,Immediate Possession,Mumbai,2 BHK,Sunrise Residency,4263.67,2,3,444.28
Built-up Area,Ready To Move,Hyderabad,2 BHK,Dream Homes,2125.17,3,3,226.92
Carpet Area,Under Construction,Chennai,1 RK,Luxury Enclave,3634.65,1,0,246.35
Plot Area,Under Construction,Pune,1 BHK,Sunrise Residency,4729.34,3,2,132.25
Carpet Area,Immediate Possession,Ahmedabad,1 RK,Dream Homes,2000.0,1,0,454.94
Plot Area,Under Construction,Chennai,2 RK,Sunrise Residency,2257.92,3,1,291.39
Super built-up Area,Ready To Move,Chennai,1 RK,Luxury Enclave,3076.36,1,2,146.9
Built-up Area,Immediate Possession,Kolkata,1 BHK,Sunrise Residency,753.02,4,1,55.59
Super built-up Area,Under Construction,Mumbai,3 BHK,Green Heights,4065.22,2,1,126.8
Carpet Area,Ready To Move,Mumbai,4 BHK,Sunrise Residency,3749.36,1,3,282.8
Carpet Area,Ready To Move,Hyderabad,1 RK,Palm Meadows,405.28,4,3,297.35
Carpet Area,Ready To Move,Hyderabad,1 BHK,Dream Homes,1210.83,2,2,38.22
Built-up Area,Immediate Possession,Bangalore,3 BHK,Green Heights,2072.36,3,0,453.51
Built-up Area,Under Construction,Ahmedabad,1 RK,Luxury Enclave,4618.03,4,2,187.74
Super built-up Area,Ready To Move,Ahmedabad,1 BHK,Luxury Enclave,872.63,2,1,474.73
Super built-up Area,Under Construction,Mumbai,2 BHK,Sunrise Residency,1178.01,2,2,67.32
Carpet Area,Ready To Move,Mumbai,3 BHK,Palm Meadows,4417.05,4,1,166.97
Built-up Area,Immediate Possession,Ahmedabad,2 RK,Skyline View,321.28,2,0,297.94
Plot Area,Immediate Possession,Bangalore,1 RK,Palm Meadows,2963.53,2,2,72.74
Carpet Area,Ready To Move,Mumbai,2 BHK,Skyline View,501.39,2,1,349.74
Carpet Area,Immediate Possession,Ahmedabad,2 BHK,Green Heights,2365.09,2,3,440.94
Super built-up Area,Under Construction,Pune,2 RK,Dream Homes,2775.42,3,1,177.21
Built-up Area,Under Construction,Chennai,3 BHK,Green Heights,383.21,2,1,366.81
Carpet Area,Immediate Possession,Ahmedabad,2 BHK,Dream Homes,4220.07,1,0,413.66
Super built-up Area,Ready To Move,Ahmedabad,1 BHK,Green Heights,1682.64,2,3,14.55
Plot Area,Under Construction,Chennai,2 RK,Skyline View,870.14,2,2,23.89
Carpet Area,Under Construction,Ahmedabad,2 RK,Oceanic Towers,808.72,1,3,111.85
Carpet Area,Under Construction,Mumbai,3 BHK,Oceanic Towers,789.87,3,0,99.89
Plot Area,Ready To Move,Delhi,4 BHK,Skyline View,1377.91,4,0,345.25
Built-up Area,Immediate Possession,Kolkata,3 BHK,Dream Homes,4376.28,3,1,343.16
Built-up Area,Ready To Move,Ahmedabad,2 RK,Sunrise Residency,4721.28,3,1,402.74
Built-up Area,Ready To Move,Bangalore,4 BHK,Green Heights,4823.72,3,3,227.14
Super built-up Area,Under Construction,Ahmedabad,3 BHK,Oceanic Towers,1263.5,3,3,214.36
Super built-up Area,Under Construction,Bangalore,4 BHK,Luxury Enclave,1275.02,1,2,415.42
Plot Area,Under Construction,Bangalore,2 RK,Sunrise Residency,1899.79,2,0,383.18
Plot Area,Ready To Move,Pune,1 RK,Skyline View,3721.07,2,0,127.84
Super built-up Area,Under Construction,Mumbai,2 BHK,Dream Homes,4023.42,4,1,124.52
Plot Area,Ready To Move,Chennai,1 BHK,Sunrise Residency,3486.03,2,1,69.9
Super built-up Area,Under Construction,Ahmedabad,2 RK,Green Heights,892.0,1,1,428.71
Super built-up Area,Immediate Possession,Pune,1 RK,Sunrise Residency,325.83,2,2,492.87
Carpet Area,Ready To Move,Delhi,2 BHK,Luxury Enclave,2574.49,4,2,142.42
Built-up Area,Immediate Possession,Delhi,4 BHK,Green Heights,4414.76,2,2,232.32
Plot Area,Immediate Possession,Delhi,1 RK,Oceanic Towers,4804.56,1,3,380.63
Plot Area,Under Construction,Bangalore,4 BHK,Skyline View,2247.62,2,0,53.45
Carpet Area,Ready To Move,Ahmedabad,2 BHK,Oceanic Towers,1714.77,4,2,66.85
Super built-up Area,Under Construction,Ahmedabad,2 RK,Luxury Enclave,822.31,3,2,138.07
Carpet Area,Immediate Possession,Kolkata,2 BHK,Luxury Enclave,775.71,2,3,240.41
Super built-up Area,Immediate Possession,Pune,4 BHK,Luxury Enclave,3683.14,2,2,168.17
Plot Area,Ready To Move,Bangalore,1 RK,Dream Homes,1642.67,2,1,146.13
Super built-up Area,Under Construction,Bangalore,4 BHK,Dream Homes,1961.17,2,3,176.76
Built-up Area,Ready To Move,Bangalore,4 BHK,Sunrise Residency,4459.93,1,2,300.11
Plot Area,Under Construction,Chennai,3 BHK,Palm Meadows,2834.81,1,1,416.4
Plot Area,Immediate Possession,Kolkata,2 RK,Dream Homes,2999.5,2,0,214.58
Carpet Area,Ready To Move,Bangalore,1 RK,Sunrise Residency,1687.64,2,2,351.76
Super built-up Area,Ready To Move,Ahmedabad,3 BHK,Sunrise Residency,4697.28,4,1,235.32
Plot Area,Ready To Move,Hyderabad,1 RK,Palm Meadows,1904.14,2,1,235.62
Super built-up Area,Under Construction,Pune,4 BHK,Green Heights,744.12,2,0,497.96
Super built-up Area,Under Construction,Delhi,2 RK,Oceanic Towers,4205.63,4,3,174.18
Built-up Area,Immediate Possession,Pune,3 BHK,Skyline View,2612.37,3,3,40.63
Super built-up Area,Under Construction,Delhi,3 BHK,Green Heights,1499.76,1,3,303.08
Built-up Area,Under Construction,Delhi,2 BHK,Luxury Enclave,570.17,3,3,160.08
Built-up Area,Immediate Possession,Ahmedabad,3 BHK,Oceanic Towers,2397.92,3,0,269.09
Carpet Area,Under Construction,Pune,2 BHK,Luxury Enclave,3411.49,3,2,326.76
Carpet Area,Ready To Move,Kolkata,2 RK,Sunrise Residency,3034.45,4,3,395.25
Carpet Area,Under Construction,Mumbai,1 BHK,Green Heights,4755.12,4,1,161.13
Plot Area,Under Construction,Delhi,4 BHK,Oceanic Towers,442.64,2,1,256.55
Plot Area,Under Construction,Chennai,3 BHK,Luxury Enclave,4188.47,3,0,390.29
Carpet Area,Under Construction,Mumbai,2 BHK,Palm Meadows,4910.95,1,2,216.73
Carpet Area,Ready To Move,Mumbai,1 BHK,Skyline View,3518.36,1,1,439.9
Super built-up Area,Ready To Move,Chennai,3 BHK,Palm Meadows,587.93,1,1,80.78
Super built-up Area,Under Construction,Mumbai,1 RK,Sunrise Residency,928.35,2,2,458.48
Built-up Area,Ready To Move,Mumbai,4 BHK,Oceanic Towers,1241.22,3,3,369.48
Super built-up Area,Ready To Move,Mumbai,3 BHK,Palm Meadows,2758.31,3,0,109.33
Carpet Area,Immediate Possession,Kolkata,3 BHK,Sunrise Residency,1009.17,3,2,384.69
Carpet Area,Ready To Move,Kolkata,2 RK,Green Heights,1043.0,3,3,287.14
Super built-up Area,Ready To Move,Mumbai,1 BHK,Skyline View,4812.78,3,3,357.27
Carpet Area,Ready To Move,Kolkata,1 BHK,Skyline View,1340.84,4,2,90.09
Built-up Area,Ready To Move,Ahmedabad,1 BHK,Sunrise Residency,3182.27,4,1,415.43
Carpet Area,Ready To Move,Delhi,2 RK,Skyline View,742.92,2,2,358.79
Carpet Area,Ready To Move,Mumbai,4 BHK,Skyline View,3677.03,1,1,229.25
Built-up Area,Ready To Move,Delhi,2 RK,Oceanic Towers,2232.33,1,3,482.18
Carpet Area,Under Construction,Bangalore,3 BHK,Sunrise Residency,1821.04,4,1,459.05
Carpet Area,Ready To Move,Pune,4 BHK,Oceanic Towers,3207.32,4,0,147.45
Built-up Area,Under Construction,Delhi,4 BHK,Dream Homes,1730.66,1,1,75.51
Plot Area,Ready To Move,Bangalore,4 BHK,Skyline View,3150.6,3,0,143.95
Plot Area,Immediate Possession,Ahmedabad,2 BHK,Sunrise Residency,4346.44,3,3,313.77
Plot Area,Immediate Possession,Ahmedabad,1 RK,Luxury Enclave,2871.73,2,3,29.06
Plot Area,Ready To Move,Hyderabad,3 BHK,Palm Meadows,3652.0,1,0,455.97
Super built-up Area,Ready To Move,Mumbai,4 BHK,Oceanic Towers,3152.17,3,3,352.72
Carpet Area,Ready To Move,Hyderabad,3 BHK,Luxury Enclave,2419.68,2,0,461.09
Super built-up Area,Ready To Move,Ahmedabad,2 RK,Luxury Enclave,4363.91,1,0,162.07
Built-up Area,Immediate Possession,Chennai,1 BHK,Sunrise Residency,1941.13,1,1,239.96
Plot Area,Ready To Move,Kolkata,2 BHK,Skyline View,969.45,4,0,88.81
Built-up Area,Under Construction,Pune,2 BHK,Oceanic Towers,4872.66,3,1,119.86
Plot Area,Ready To Move,Delhi,2 RK,Oceanic Towers,4849.18,4,2,407.49
Plot Area,Ready To Move,Chennai,3 BHK,Skyline View,4246.51,3,2,125.41
